# 结构式候选清单 —— STRUCTURE_LIST.md 的输入。
# 一行一个候选：group<TAB>key<TAB>中文<TAB>English<TAB>grep 探针（| 分隔，regex）
# 20 个氨基酸不在这里，它们写在 build_structure_list.py 里（已全部画完，不会再变）。
# 改这个文件之后重跑 build_structure_list.py，STRUCTURE_LIST.md 会重新生成。
# 中文探针可以写，但计数时会被丢掉——中文没有词边界，见脚本里的注释。
sugar	d-glyceraldehyd	D-甘油醛	D-glyceraldehyde	glyceraldehyde|glyceraldehyd|甘油醛
sugar	dihydroxyaceton	二羟丙酮	dihydroxyacetone	dihydroxyacetone|dihydroxyaceton|二羟丙酮
sugar	d-erythrose	D-赤藓糖（开链）	D-erythrose, open chain	erythrose|erythros|赤藓糖
sugar	d-ribose-open	D-核糖（开链）	D-ribose, open chain	ribose|ribos(?![oó])|核糖
sugar	b-ribf	β-D-呋喃核糖	beta-D-ribofuranose	ribofuranose|ribofuranos
sugar	b-drib	β-D-2-脱氧核糖	beta-D-2-deoxyribose	deoxyribose|deoxyribos|脱氧核糖
sugar	d-ribulose	D-核酮糖（开链）	D-ribulose, open chain	ribulose|ribulos|核酮糖
sugar	d-xylose	D-木糖（开链）	D-xylose, open chain	xylose|xylos|木糖
sugar	d-xylulose	D-木酮糖（开链）	D-xylulose, open chain	xylulose|xylulos|木酮糖
sugar	l-arabinose	L-阿拉伯糖	L-arabinose	arabinose|arabinos|阿拉伯糖
sugar	glc-open	D-葡萄糖（开链）	D-glucose, open chain	glucose|glukos|葡萄糖
sugar	a-glcp	α-D-吡喃葡萄糖	alpha-D-glucopyranose	glucopyranose|glukopyranos
sugar	b-glcp	β-D-吡喃葡萄糖	beta-D-glucopyranose	glucopyranose|glukopyranos
sugar	d-galactose-open	D-半乳糖（开链）	D-galactose, open chain	galactose|galaktos|半乳糖
sugar	b-galp	β-D-吡喃半乳糖	beta-D-galactopyranose	galactopyranose|galaktopyranos
sugar	d-mannose-open	D-甘露糖（开链）	D-mannose, open chain	mannose|manos|甘露糖
sugar	a-manp	α-D-吡喃甘露糖	alpha-D-mannopyranose	mannopyranose|manopyranos
sugar	d-fructose-open	D-果糖（开链）	D-fructose, open chain	fructose|fruktos|果糖
